case_number,date,block,latitude,longitude,ward,fatal
JJ527258,2025-12-18 20:34:00,3000 W WASHINGTON BLVD,41.88289834585807,-87.70389534612035,27.0,False
JJ527258,2025-12-18 20:34:00,3000 W WASHINGTON BLVD,41.88289834585807,-87.70389534612035,27.0,False
JJ526178,2025-12-18 01:27:00,6500 S TALMAN AVE,41.77434834585807,-87.68989534612034,16.0,True
JJ526034,2025-12-17 21:02:00,700 E 131ST ST,41.65686690414193,-87.60363094130076,10.0,False
JJ525628,2025-12-17 14:14:00,700 S CARPENTER ST,41.87267834585807,-87.65385534612034,34.0,True
JJ524762,2025-12-16 19:50:00,700 E 95TH ST,41.72233987585807,-87.60475796387966,8.0,False
JJ524778,2025-12-16 18:00:00,800 W 87TH ST,41.73593834585807,-87.64437534612034,21.0,False
JJ523658,2025-12-15 22:55:00,4000 W VAN BUREN ST,41.87555834585807,-87.72664534612034,28.0,False
JJ523572,2025-12-15 20:10:00,13000 S CHAMPLAIN AVE,41.65797834585807,-87.60467465387966,10.0,True
JJ523500,2025-12-15 18:47:00,2700 W LAKE ST,41.88471966894669,-87.69609854747083,27.0,False
JJ522411,2025-12-14 20:14:00,3900 W OGDEN AVE,41.85166309585807,-87.72389094130077,22.0,False
JJ521744,2025-12-14 04:05:00,100 W 95TH ST,41.72127690414193,-87.62805094130077,9.0,False
JJ521546,2025-12-13 21:03:00,3500 W LEXINGTON ST,41.87116690414193,-87.71466905869923,24.0,False
JJ521358,2025-12-13 17:05:00,4800 W ADAMS ST,41.87866834585807,-87.74605534612034,28.0,False
JJ521358,2025-12-13 17:05:00,4800 W ADAMS ST,41.87866834585807,-87.74605534612034,28.0,False
JJ520796,2025-12-13 03:05:00,700 N LAWNDALE AVE,41.89449690414193,-87.71915905869923,27.0,True
JJ520773,2025-12-13 02:43:00,200 W 122ND ST,41.67234192354793,-87.62794115160865,9.0,False
JJ520706,2025-12-13 00:18:00,6600 S STEWART AVE,41.77228690414193,-87.63526905869924,6.0,False
JJ520706,2025-12-13 00:18:00,6600 S STEWART AVE,41.77228690414193,-87.63526905869924,6.0,False
JJ520729,2025-12-12 23:45:00,2700 W FOSTER AVE,41.97620309585807,-87.69826905869922,40.0,False
JJ520672,2025-12-12 23:25:00,1900 W HOWARD ST,42.01951834585807,-87.67930465387965,,False
JJ520239,2025-12-12 15:50:00,4700 S KEDZIE AVE,41.80749309585807,-87.70435905869923,14.0,False
JJ518876,2025-12-11 12:10:00,13100 S ST LAWRENCE AVE,41.65625690414193,-87.60768905869924,10.0,False
JJ518714,2025-12-11 08:43:00,0 N HOMAN BLVD,41.88172690414193,-87.71063094130076,28.0,False
JJ518460,2025-12-11 05:30:00,600 S CENTRAL PARK AVE,41.87405966894669,-87.71565854747082,24.0,False
JJ518406,2025-12-11 04:34:00,5100 W DEMING PL,41.92650690414193,-87.75477905869923,31.0,True
JJ518378,2025-12-11 02:40:00,9200 S MERRILL AVE,41.72693834585807,-87.57210534612034,7.0,True
JJ518378,2025-12-11 02:40:00,9200 S MERRILL AVE,41.72693834585807,-87.57210534612034,7.0,False
JJ518304,2025-12-10 23:09:00,4000 W ADAMS ST,41.87757690414193,-87.72657094130076,28.0,False
JJ518046,2025-12-10 17:49:00,1500 E 74TH ST,41.75997690414193,-87.58783905869923,8.0,True
JJ516507,2025-12-09 13:12:00,11200 S HERMOSA AVE,41.68937165414193,-87.66827534612034,19.0,False
JJ515948,2025-12-09 00:36:00,1800 S RIDGEWAY AVE,41.85573834585807,-87.71938534612035,24.0,True
JJ515929,2025-12-08 23:45:00,6900 S PERRY AVE,41.76795309585807,-87.62862905869923,6.0,False
JJ515847,2025-12-08 20:21:00,6000 W 63RD ST,41.77755165414193,-87.77239534612035,13.0,False
JJ515753,2025-12-08 19:00:00,2100 S KILDARE AVE,41.85135165414193,-87.73178465387966,22.0,False
JJ514795,2025-12-08 02:37:00,9600 S AVENUE N,41.7203105,-87.53906,10.0,True
JJ514732,2025-12-07 23:00:00,1000 N FRANCISCO AVE,41.90071834585807,-87.69899465387967,26.0,False
JJ514273,2025-12-07 13:15:00,2600 E 79TH ST,41.75175165414193,-87.55868465387965,7.0,False
JJ513883,2025-12-07 02:45:00,5700 S ALBANY AVE,41.78810165414193,-87.70067465387966,14.0,False
JJ513879,2025-12-07 02:00:00,4800 W GLADYS AVE,41.87648309585807,-87.74565905869923,28.0,False
JJ513879,2025-12-07 02:00:00,4800 W GLADYS AVE,41.87648309585807,-87.74565905869923,28.0,False
JJ513823,2025-12-07 00:58:00,11400 S DAVOL ST,41.68522165414193,-87.66415465387966,21.0,False
JJ513823,2025-12-07 00:58:00,11400 S DAVOL ST,41.68522165414193,-87.66415465387966,21.0,False
JJ513823,2025-12-07 00:58:00,11400 S DAVOL ST,41.68522165414193,-87.66415465387966,21.0,False
JJ513807,2025-12-06 23:44:00,2300 E 93RD ST,41.72614165414193,-87.56771534612034,7.0,False
JJ513667,2025-12-06 19:49:00,1500 S FAIRFIELD AVE,41.86116165414193,-87.69498534612035,28.0,False
JJ512708,2025-12-05 23:28:00,3800 W ADAMS ST,41.87809834585807,-87.72261534612034,28.0,True
JJ511632,2025-12-04 23:20:00,500 W 76TH ST,41.75649834585807,-87.63669465387966,6.0,False
JJ509696,2025-12-03 10:32:00,10700 S WENTWORTH AVE,41.69810690414193,-87.62817905869923,21.0,False
JJ509361,2025-12-02 22:12:00,10100 S WENTWORTH AVE,41.71106309585807,-87.62828094130077,9.0,False
JJ508219,2025-12-01 20:10:00,1100 E 47TH ST,41.81024309585807,-87.59734905869924,4.0,False
JJ507309,2025-12-01 06:00:00,10900 S STATE ST,41.69532309585807,-87.62357905869924,9.0,True
JJ507118,2025-11-30 20:31:00,7600 S STEWART AVE,41.75545834585807,-87.63499534612033,17.0,False
JJ507076,2025-11-30 19:35:00,800 S CLAREMONT AVE,41.86974631463093,-87.68493171168524,28.0,True
JJ506963,2025-11-30 17:06:00,4100 S WABASH AVE,41.81879714643093,-87.62423376401466,3.0,True
JJ506963,2025-11-30 17:06:00,4100 S WABASH AVE,41.81879714643093,-87.62423376401466,3.0,False
JJ506963,2025-11-30 17:06:00,4100 S WABASH AVE,41.81879714643093,-87.62423376401466,3.0,False
JJ505535,2025-11-29 03:00:00,3300 W WASHINGTON BLVD,41.8822505,-87.70995,28.0,False
JJ505018,2025-11-28 14:00:00,7100 N PAULINA ST,42.01202834585807,-87.67292534612034,49.0,False
JJ504945,2025-11-28 13:20:00,700 N LEAMINGTON AVE,41.8935005,-87.7542,37.0,False
JJ504521,2025-11-28 00:29:00,1300 N LAMON AVE,41.90539309585807,-87.74835094130077,37.0,False
JJ504521,2025-11-28 00:29:00,1300 N LAMON AVE,41.90539309585807,-87.74835094130077,37.0,False
JJ504503,2025-11-28 00:03:00,5100 S LUNA AVE,41.79970165414193,-87.76070465387966,23.0,True
JJ504467,2025-11-27 23:00:00,3900 W OGDEN AVE,41.85109165414193,-87.72430534612035,22.0,False
JJ504366,2025-11-27 19:19:00,8100 S MARYLAND AVE,41.74590690414193,-87.60394905869923,8.0,False
JJ503782,2025-11-27 02:19:00,1200 W 111TH PL,41.69170072830407,-87.65292064704866,21.0,True
JJ503669,2025-11-26 22:23:00,1500 S ST LOUIS AVE,41.86008309585807,-87.71290905869922,24.0,False
JJ503638,2025-11-26 21:14:00,0 S CICERO AVE,41.88046834585807,-87.74555534612034,28.0,False
JJ503638,2025-11-26 21:14:00,0 S CICERO AVE,41.88046834585807,-87.74555534612034,28.0,False
JJ503564,2025-11-26 19:30:00,9800 S DREXEL AVE,41.71464690414193,-87.60140094130077,8.0,False
JJ502745,2025-11-26 06:32:00,6800 S CALUMET AVE,41.7695605,-87.61684,6.0,True
JJ502657,2025-11-26 01:00:00,9500 S DOBSON AVE,41.72177165414193,-87.59900534612034,8.0,False
